ID,keyword,year,result_text,Timestamp
951,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
952,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
953,ISL News,2024,,2024-04-19 08:34:52
954,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
955,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
956,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
957,ISL News,2024,More results,2024-04-19 08:34:52
958,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
959,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
960,ISL News,2024,,2024-04-19 08:34:52
961,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
962,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
963,ISL News,2024,,2024-04-19 08:35:37
964,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
965,ISL News,2024,More results,2024-04-19 08:35:37
966,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
967,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
968,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
969,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
970,ISL News,2024,,2024-04-19 08:35:37
971,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
972,ISL News,2024,More results,2024-04-19 08:35:37
1234,ISL News,2024,More results,2024-04-19 08:47:36
973,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
974,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
975,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
976,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
977,ISL News,2024,,2024-04-19 08:35:37
978,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
979,ISL News,2024,More results,2024-04-19 08:35:37
980,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
981,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
982,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
983,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
984,ISL News,2024,,2024-04-19 08:35:37
985,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
986,ISL News,2024,More results,2024-04-19 08:35:37
987,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
988,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
989,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
990,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
991,ISL News,2024,,2024-04-19 08:35:37
992,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
993,ISL News,2024,More results,2024-04-19 08:35:37
994,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
995,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
996,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
997,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
998,ISL News,2024,,2024-04-19 08:35:37
999,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
1000,ISL News,2024,More results,2024-04-19 08:35:37
1001,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:35:37
1002,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:35:37
1003,ISL News,2024,Guided Search Filters,2024-04-19 08:35:37
1004,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:35:37
1005,ISL News,2024,,2024-04-19 08:35:37
1006,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:35:37
1007,ISL News,2024,More results,2024-04-19 08:35:37
1008,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:36:59
1009,ISL News,2024,,2024-04-19 08:36:59
1010,ISL News,2024,Guided Search Filters,2024-04-19 08:36:59
1011,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:36:59
1012,ISL News,2024,More results,2024-04-19 08:36:59
1013,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:36:59
1014,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:36:59
1015,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:36:59
1016,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:36:59
1017,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:36:59
1018,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:36:59
1019,ISL News,2024,,2024-04-19 08:36:59
1020,ISL News,2024,Guided Search Filters,2024-04-19 08:36:59
1021,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:36:59
1022,ISL News,2024,More results,2024-04-19 08:36:59
1023,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:36:59
1024,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:36:59
1025,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:36:59
1026,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:36:59
1027,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:36:59
1028,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:36:59
1029,ISL News,2024,,2024-04-19 08:36:59
1030,ISL News,2024,Guided Search Filters,2024-04-19 08:36:59
1031,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:36:59
1032,ISL News,2024,More results,2024-04-19 08:36:59
1033,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:36:59
1034,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | MW 22 | ISL ...,2024-04-19 08:36:59
1035,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:36:59
1036,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:36:59
1037,ISL News,2024,Mohun Bagan Super Giant 2-1 Mumbai City FC | ISL 2023-24,2024-04-19 08:36:59
1038,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:36:59
1039,ISL News,2024,,2024-04-19 08:36:59
1040,ISL News,2024,Guided Search Filters,2024-04-19 08:36:59
1041,ISL News,2024,Preview: Odisha FC take on Kerala Blasters FC for a spot ...,2024-04-19 08:36:59
1042,ISL News,2024,More results,2024-04-19 08:36:59
1043,ISL News,2024,MBSG are the ISL 2023-24 League Winners!,2024-04-19 08:36:59
